business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Dragcode Solutions Pvt Ltd,,"Computer Classes, Tuition",4.9,17,https://dragcodesolutions.com,"Bhistabag, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Dragcode Solutions pvt ltd/data=!4m7!3m6!1s0x3bdcbbb4247393b5:0x7cb0bdb23a71a8a6!8m2!3d19.1286609!4d74.7372662!16s/g/11xkpjq4hy!19sChIJtZNzJLS73DsRpqhxOrK9sHw
Globe Lengua Institute,7030799968,English Academy,4.9,19,https://globelengua.com,"Mahavir Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Globe Lengua Institute/data=!4m7!3m6!1s0x3bdcbb14889ebaa7:0x13a49203d476f2a!8m2!3d19.1146687!4d74.728189!16s/g/11yw2kw7b0!19sChIJp7qeiBS73DsRKm9HPSBJOgE
Hi Tech Computer Education Mkcl Authorize Center,8007521808,"Computer Classes, Tuition",4.9,192,https://g.page,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Hi-Tech Computer Education- MKCL Authorize center/data=!4m7!3m6!1s0x3bdcbb45c7e2a4df:0x99170870b428a5ee!8m2!3d19.128727!4d74.7373334!16s/g/11h1knp9h2!19sChIJ36Tix0W73DsR7qUotHAIF5k
Joypum Infotech Biometric Attendance Payroll,9294606060,"Computer Classes, NDA, Tuition",4.9,87,https://joypum.com,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/JOYPUM INFOTECH Biometric Attendance payroll/data=!4m7!3m6!1s0x3bdcb10f9ba5511b:0xe89a54c3fb36212b!8m2!3d19.1131804!4d74.7305805!16s/g/11lgm78gj2!19sChIJG1Glmw-x3DsRKyE2-8NUmug
Kalam Coaching Classes,8605213286,"NEET, Tuition",4.9,23,https://connectitapp.in,"M.i.r.c Ahmednagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/KALAM COACHING CLASSES/data=!4m7!3m6!1s0x3bdcb1bb6ae40285:0xf9539871f8efb274!8m2!3d19.0940886!4d74.7468431!16s/g/11twgywprm!19sChIJhQLkarux3DsRdLLv-HGYU_k
Kd's Classes Ahilyanagar,9511677064,"CET, Tuition",4.9,438,http://kdsclass.com,"Savedi, Ahmednagar",Ahmednagar,,,"https://www.google.com/maps/place/KD's Classes, Ahilyanagar/data=!4m7!3m6!1s0x3bdcba85f781f58d:0x3addc1c9387a7f10!8m2!3d19.1170543!4d74.7358786!16s/g/11m_vyv03r!19sChIJjfWB94W63DsREH96OMnB3To"
No.1 Share Market Class,8380012000,"Banking, Tuition",4.9,36,http://tradinghubacademy.in,"Nalegaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/No.1 share market class/data=!4m7!3m6!1s0x3bdcb1b6f0991ab1:0xd637bc56e41cee1b!8m2!3d19.0936851!4d74.7315228!16s/g/11rwphmnks!19sChIJsRqZ8Lax3DsRG-4c5Fa8N9Y
Rushiraj Academy.in,7875007824,Banking,4.9,25,https://rushirajcareersacademy.com,"Nalegaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Rushiraj Academy.in/data=!4m7!3m6!1s0x3bdcb15c91a5fe5b:0xd036f4be921002a5!8m2!3d19.0964492!4d74.7395591!16s/g/11y42rnjks!19sChIJW_6lkVyx3DsRpQIQkr70NtA
Scholars Hub International School,9923608313,"NEET, Kids Learning",4.9,52,https://instagram.com,"Nalegaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/SCHOLARS HUB INTERNATIONAL SCHOOL/data=!4m7!3m6!1s0x3bdcb1869cbe13ef:0xed8b30924cca6544!8m2!3d19.0956261!4d74.7445115!16s/g/11ry2bc_8x!19sChIJ7xO-nIax3DsRRGXKTJIwi-0
Success Science Academy,8830002899,"IIT JEE, NEET, CET, Tuition, Science",4.9,505,https://successscienceacademy.com,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Success Science Academy NEET JEE MHT-CET Classes/data=!4m7!3m6!1s0x3bdcbbac31d4779d:0x7447213f587c2f28!8m2!3d19.123545!4d74.7304099!16s/g/11q1lg0drf!19sChIJnXfUMay73DsRKC98WD8hR3Q
