business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Institute Of Professional Banking Akola Ipb Akola,8862010197,Banking,4.9,34,https://ipbindia.com,"Ramdaspeth, Akola",Akola,,,https://www.google.com/maps/place/Institute Of Professional Banking Akola (IPB AKOLA)/data=!4m7!3m6!1s0x3bd72dbb5d022a47:0x79c51640a94bc736!8m2!3d20.7183305!4d77.0114096!16s/g/11nnzdbg7q!19sChIJRyoCXbst1zsRNsdLqUAWxXk
Kids Kastle Preschool,,Kids Learning,4.9,73,http://kidskastle.co.in,"Aadarsh Colony, Akola",Akola,,,https://www.google.com/maps/place/Kids Kastle Preschool/data=!4m7!3m6!1s0x3bd72f001cbef57d:0xc33b99b548f4510d!8m2!3d20.6960292!4d77.0113311!16s/g/11y44tvnsw!19sChIJffW-HAAv1zsRDVH0SLWZO8M
Magic Mind,,"Tuition, Abacus",4.9,51,http://magicmind4india.blogspot.com,"New Radhakisan Plots, Akola",Akola,,,https://www.google.com/maps/place/MAGIC MIND/data=!4m7!3m6!1s0x3bd73185aa342881:0xd5fc410a57491f8f!8m2!3d20.7060406!4d77.0031918!16s/g/11sm_t6s0n!19sChIJgSg0qoUx1zsRjx9JVwpB_NU
Moves N Stretch Studio,8975331144,Tuition,4.9,71,http://chatoracoach.com,"New Radhakisan Plots, Akola",Akola,,,https://www.google.com/maps/place/Moves N Stretch Studio/data=!4m7!3m6!1s0x3bd72f21e8c17aed:0x59a8a67a9aa98b69!8m2!3d20.7124804!4d77.0091181!16s/g/11fdy0s6j7!19sChIJ7XrB6CEv1zsRaYupmnqmqFk
Msquare Tutorials Best CA Foundation In Akola,9370335455,"CA, NDA, Tuition",4.9,85,http://msquaretutorials.com,"Sahakar Nagar, Akola",Akola,,,https://www.google.com/maps/place/MSquare Tutorials Best CA FOUNDATION in Akola/data=!4m7!3m6!1s0x3bd72d5c53a1ff37:0x1e2e66b61f224716!8m2!3d20.6871796!4d77.0228736!16s/g/11h4tnwxs0!19sChIJN_-hU1wt1zsRFkciH7ZmLh4
Nit Computer Institute,7020058974,"Computer Classes, Tuition",4.9,409,https://mscit.mkcl.org,"Malkapur, Akola",Akola,,,https://www.google.com/maps/place/NIT Computer Institute/data=!4m7!3m6!1s0x3bd72de90accbde5:0x2feb071662f14e1a!8m2!3d20.6802093!4d77.0300376!16s/g/11ckqmy3qk!19sChIJ5b3MCukt1zsRGk7xYhYH6y8
P Byte Computer Education Pvt.ltd Mkcl Alc,8275725605,"Computer Classes, Tuition",4.9,172,http://mscit.mkcl.org,"Akot, Akola",Akola,Akot,,https://www.google.com/maps/place/P Byte Computer Education Pvt.Ltd MKCL ALC/data=!4m7!3m6!1s0x3bd731dcc0ab66f3:0x8357f30cec5169e5!8m2!3d20.7203665!4d76.9999678!16s/g/11gfn7t_5r!19sChIJ82arwNwx1zsR5WlR7AzzV4M
Prahar Defence Academy Best NDA Academy In Nagpur Maharashtra,9730351119,"Defence, NDA, Army",4.9,92,https://praharacademy.com,"New Sneh Nagar, Nagpur",Akola,Balapur,,"https://www.google.com/maps/place/Prahar Defence Academy (Best NDA Academy in Nagpur, Maharashtra)/data=!4m7!3m6!1s0x3bd4bf8034af44f5:0xe5d2ce6a412928!8m2!3d21.1073835!4d79.0624522!16s/g/11pzmvjvrm!19sChIJ9USvNIC_1DsRKClBas7S5QA"
Chhatrapati Shivaji Maharaj Armed Forces Preparatory Institute Afpi Nagpur,9922337601,Army,4.8,195,http://ndavision60.com,"Jhansi, Nagpur",Akola,Balapur,,"https://www.google.com/maps/place/Chhatrapati Shivaji Maharaj Armed Forces Preparatory Institute, AFPI, Nagpur/data=!4m7!3m6!1s0x3bd4c092ccb941c3:0x801b33dec06d8aae!8m2!3d21.1396865!4d79.0777582!16s/g/11kk9sk7xq!19sChIJw0G5zJLA1DsRroptwN4zG4A"
Disha Computer Institute Akola Data Science Full Stack Course Programming Language Tallyprime & Animation Course,,"Computer Classes, Tuition",4.8,147,http://dishagroup.in,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/Disha Computer Institute Akola Data Science Full Stack Course Programming Language TallyPrime & Animation Course/data=!4m7!3m6!1s0x3bd731c0c4829c19:0x960e0e3adb238606!8m2!3d20.7120779!4d77.0095116!16s/g/11q8thm0t5!19sChIJGZyCxMAx1zsRBoYj2zoODpY
