business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Resonance Academy,7758816553,Tuition,4.7,193,,"Samata Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Resonance Academy/data=!4m7!3m6!1s0x3bd6a33869d29a19:0x5e572438813cff7e!8m2!3d20.9616985!4d77.758921!16s/g/12jlnxrvq!19sChIJGZrSaTij1jsRfv88gTgkV14
Chanakya Academy Ajinkya Waghmare Sir,9503333839,Tuition,4.6,120,,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/CHANAKYA ACADEMY-Ajinkya Waghmare Sir/data=!4m7!3m6!1s0x3bd6a34ce4e68769:0xe28e0fc3350a7ded!8m2!3d20.9512892!4d77.7671668!16s/g/11grbv7x95!19sChIJaYfm5Eyj1jsR7X0KNcMPjuI
Iin Ideal Institute Of NEET,7620599664,"IIT JEE, NEET",4.6,20,,"Jyastambh Chowk, Amravati",Amravati,,,https://www.google.com/maps/place/IIN Ideal Institute of NEET/data=!4m7!3m6!1s0x3bd6a53dbf372ea5:0xd8f927f0b99f0202!8m2!3d20.930639!4d77.7548938!16s/g/11sx4lyj58!19sChIJpS43vz2l1jsRAgKfufAn-dg
Shree Education Zone,8999982145,"CET, Banking",4.6,11,,"Midc Rd, Amravati",Amravati,,,https://www.google.com/maps/place/Shree Education Zone/data=!4m7!3m6!1s0x3bd6a50523833335:0x82182ffbc0106fd!8m2!3d20.8988446!4d77.7647188!16s/g/11f6xzt4nb!19sChIJNTODIwWl1jsR_QYBvP-CIQg
Shri Sadguru Coaching Cbse Home Dna,9822223182,IIT JEE,4.6,98,,"Gopal Nagar, Amravati",Amravati,,,"https://www.google.com/maps/place/Shri Sadguru Coaching, CBSE HOME, DNA/data=!4m7!3m6!1s0x3bd6a4c6098844b7:0xb018d3c069f27b40!8m2!3d20.907129!4d77.7576789!16s/g/11c5rp6rnc!19sChIJt0SICcak1jsRQHvyacDTGLA"
Sai Coaching Classes,9422865474,Tuition,4.4,33,,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Sai Coaching Classes/data=!4m7!3m6!1s0x3bd6a3433cc106c5:0x3fa70eb8b6d0c585!8m2!3d20.9496799!4d77.7644421!16s/g/11fxvbdp6d!19sChIJxQbBPEOj1jsRhcXQtrgOpz8
Vidarbh Ias Academy Amravati,8668920552,"UPSC, Tuition",4.3,137,,"Gadge Nagar, Amravati",Amravati,,,"https://www.google.com/maps/place/VIDARBH IAS ACADEMY, AMRAVATI/data=!4m7!3m6!1s0x3bd6a3f21cacfe11:0xc30f4ab714127a22!8m2!3d20.9455135!4d77.7686357!16s/g/11f5qrnmt8!19sChIJEf6sHPKj1jsRInoSFLdKD8M"
Convergence Education Academy,7559484667,Tuition,4.1,23,,"Anandwadi, Amravati",Amravati,,,https://www.google.com/maps/place/CONVERGENCE EDUCATION ACADEMY/data=!4m7!3m6!1s0x3bd6a3dea56b7a25:0x3d08e7084c27a1aa!8m2!3d20.970066!4d77.7567027!16s/g/11rr15k0vz!19sChIJJXprpd6j1jsRqqEnTAjnCD0
Gravity Educare IIT JEE NEET Physics And Maths & Maths Classes,9890774811,"IIT JEE, NEET, Tuition, Science, Mathematics",4.0,18,,"Dastur Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Gravity Educare IIT JEE NEET Physics and maths & Maths classes/data=!4m7!3m6!1s0x3bd6a4ba50fb4469:0x5c3f31f0c8125566!8m2!3d20.918572!4d77.7614808!16s/g/11c2kgnwty!19sChIJaUT7ULqk1jsRZlUSyPAxP1w
Motion Education Amravati,9607768696,Tuition,4.0,49,,"Maltekdi, Amravati",Amravati,,,https://www.google.com/maps/place/Motion Education Amravati/data=!4m7!3m6!1s0x3bd6a5d9af829563:0x49143907268b095!8m2!3d20.9373208!4d77.7739874!16s/g/11shx4_976!19sChIJY5WCr9ml1jsRlbBocpBDkQQ
Vidyaguru Academy Samara Nagar No.1 Amravati,8888831972,Tuition,3.0,2,,"Midc Rd, Amravati",Amravati,,,https://www.google.com/maps/place/Vidyaguru Academy SAMARA nagar no.1 Amravati/data=!4m7!3m6!1s0x3bd6a495742f3593:0x60c03f8a55d1ad31!8m2!3d20.9163582!4d77.7691913!16s/g/11gh2svykb!19sChIJkzUvdJWk1jsRMa3RVYo_wGA
Abhineet Academy,9422917071,"NEET, Tuition",,,,"Deorankar Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Abhineet Academy/data=!4m7!3m6!1s0x3bd6a4b6bd162ac1:0xb8a8d3bbde02f4c3!8m2!3d20.9169604!4d77.7517535!16s/g/11bx4bjzlw!19sChIJwSoWvbak1jsRw_QC3rvTqLg
