business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Vedantu Learning Center Amravati Vlc JEE NEET Foundation,9405347243,"IIT JEE, NEET, NDA, Kids Learning",4.7,3,https://vedantu.com,"Gadge Nagar, Amravati",Amravati,,,"https://www.google.com/maps/place/Vedantu Learning Center, Amravati (VLC)- JEE / NEET / Foundation/data=!4m7!3m6!1s0x3bd6a3a313b9c945:0x3e14179cf5698dd4!8m2!3d20.9445462!4d77.7682319!16s/g/11xdr_d7gj!19sChIJRcm5E6Oj1jsR1I1p9ZwXFD4"
Yashodeep Ias Academy,9767452061,"UPSC, Tuition",4.7,58,http://yashodeepiasacademy.com,"Rampuri Camp, Amravati",Amravati,,,https://www.google.com/maps/place/Yashodeep IAS Academy/data=!4m7!3m6!1s0x3bd6a3027eda3335:0x636c8de5c00031b7!8m2!3d20.9413505!4d77.7646569!16s/g/11h2qmx8c7!19sChIJNTPafgKj1jsRtzEAwOWNbGM
Chintamani Coaching Classes Science Academy Cbse Classes,9422734930,"Tuition, Science",4.6,321,http://chintamanicoaching.com,"Wadali Naka, Amravati",Amravati,,,https://www.google.com/maps/place/Chintamani Coaching Classes / Science Academy / CBSE Classes/data=!4m7!3m6!1s0x3bd6a4c6d238f549:0x75a4a8039ee85def!8m2!3d20.9110157!4d77.7607551!16s/g/1pyql4z7t!19sChIJSfU40sak1jsR713ongOopHU
Vector Academy,9503399225,Tuition,4.6,18,https://vector-academy.grexa.site,"Janardan Peth, Amravati",Amravati,,,https://www.google.com/maps/place/Vector Academy/data=!4m7!3m6!1s0x3bd6a558ab7c9c17:0xa38b84d682f5874a!8m2!3d20.9248163!4d77.7500722!16s/g/11fkvz8qhh!19sChIJF5x8q1il1jsRSof1gtaEi6M
Aakash Institute,8800013065,"IIT JEE, NEET, Tuition",4.5,414,https://centers.aakash.ac.in,"Prabhat Chowk, Amravati",Amravati,,,"https://www.google.com/maps/place/Aakash Institute - Best NEET & IIT-Jee Coaching in Amravati, Prabhat Chowk/data=!4m7!3m6!1s0x3bd6a4a3259b5c11:0x8adb677e9e190c6!8m2!3d20.9305163!4d77.7513459!16s/g/11r9f5pm6!19sChIJEVybJaOk1jsRxpDh6Xe2rQg"
Bansal Classes Amravati Rajapeth,9561067991,Tuition,4.5,323,https://bansal.ac.in,"Madhokar Peth, Amravati",Amravati,,,https://www.google.com/maps/place/Bansal Classes Amravati (Rajapeth)/data=!4m7!3m6!1s0x3bd6a5212801e511:0xcc8ece14c31cddb1!8m2!3d20.9215818!4d77.7546987!16s/g/11j7d07fgc!19sChIJEeUBKCGl1jsRsd0cwxTOjsw
Physics Wallah Vidyapeeth Pathshala Coaching Center Amrawati Rajapeth 8th 12th IIT JEE NEET And Dropper MHT CET,7428890305,"IIT JEE, NEET, CET, Science",4.5,4,https://pw.live,"Rajapeth, Amravati",Amravati,,,"https://www.google.com/maps/place/Physics Wallah Vidyapeeth Pathshala Coaching Center Amrawati Rajapeth (8th-12th ) IIT-JEE, NEET and Dropper MHT-CET/data=!4m7!3m6!1s0x3bd6a59061988599:0xd643d620a81bf63c!8m2!3d20.9178468!4d77.7531816!16s/g/11m6bymz9k!19sChIJmYWYYZCl1jsRPPYbqCDWQ9Y"
T.i.m.e.,7212551334,Tuition,4.5,142,http://time4education.com,,Amravati,,,https://www.google.com/maps/place/T.I.M.E./data=!4m7!3m6!1s0x3bd6a4b6bd35f567:0xdde695e8e2b9eaf!8m2!3d20.9167361!4d77.7515678!16s/g/11c60zpw3x!19sChIJZ_U1vbak1jsRr54rjl5p3g0
Shikhar Educare,8421288304,IIT JEE,4.4,152,https://shikhareducare.com,"Vivekanand Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Shikhar Educare/data=!4m7!3m6!1s0x3bd4bf7bdc91fa85:0x1204acf3a77ef7f3!8m2!3d20.9264436!4d77.7664476!16s/g/11b6_q_0mf!19sChIJhfqR3Hu_1DsR8_d-p_OsBBI
Iitians Pace Amravati,9922409101,"IIT JEE, Tuition",4.2,130,http://iitianspace.com,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/IITians Pace Amravati/data=!4m7!3m6!1s0x3bd6a36745249665:0x2e467efaa8c040e0!8m2!3d20.9438306!4d77.7688922!16s/g/11cn5qs8hs!19sChIJZZYkRWej1jsR4EDAqPp-Ri4
