business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Jain's Coaching Classes,9423768691,Tuition,5.0,3,,"Dnyaneshwar Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Jain's coaching classes/data=!4m7!3m6!1s0x3bdcbbfdbafe058f:0x8d67971322921f3!8m2!3d19.130938!4d74.74469!16s/g/11sd65k07l!19sChIJjwX-uv273DsR8yEpMnF51gg
Karn Ethical Hacking Computer Institute,,"Computer Classes, Tuition",5.0,19,,"Kedgaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/KARN ETHICAL HACKING COMPUTER INSTITUTE/data=!4m7!3m6!1s0x3bdcb11dc7ec4ba9:0x56fa1a06205a2cf7!8m2!3d19.06219!4d74.7052208!16s/g/11l29d9fxw!19sChIJqUvsxx2x3DsR9yxaIAYa-lY
Kid Kingdom Classes,,"Tuition, English Academy",5.0,3,,"Mahavir Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Kid Kingdom Classes/data=!4m7!3m6!1s0x3bdcb10650742ec9:0x2fd5fe25894c82c6!8m2!3d19.1116305!4d74.7304595!16s/g/11krkws9sr!19sChIJyS50UAax3DsRxoJMiSX-1S8
Krushna Computer Institute,8805055929,"Computer Classes, Tuition",5.0,7,,"Bolhegaon Suburban, Nagapur",Ahmednagar,,,https://www.google.com/maps/place/Krushna Computer Institute/data=!4m7!3m6!1s0x3bdcbb1f7f4cdf61:0xbabcf1f71e4b4f30!8m2!3d19.1357553!4d74.7074735!16s/g/11tp77krkd!19sChIJYd9Mfx-73DsRME9LHvfxvLo
Maths World Academy,7020844450,"IIT JEE, Mathematics",5.0,26,,"Bhistabag, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Maths World Academy/data=!4m7!3m6!1s0x3bdcbb55217d70a1:0x2d01fb4ce017bd04!8m2!3d19.1292841!4d74.7320018!16s/g/11fkdyqj07!19sChIJoXB9IVW73DsRBL0X4Ez7AS0
Modern English School,9404174250,"English Academy, Kids Learning",5.0,1,,"Bhingar, Nagardeole",Ahmednagar,,,https://www.google.com/maps/place/Modern English School/data=!4m7!3m6!1s0x3bdcafb406c9196b:0x4f8e854d653ae0b4!8m2!3d19.1022259!4d74.7808189!16s/g/11khkff03f!19sChIJaxnJBrSv3DsRtOA6ZU2Fjk8
MPSC Iq Education Exams Study Centre,,MPSC,5.0,1,,"Bagade Mala, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Mpsc IQ education ( Exams Study Centre )/data=!4m7!3m6!1s0x3bdcb1a9be800de9:0xda1f9c3a1272ccbf!8m2!3d19.1034629!4d74.7307982!16s/g/11pwrgfp9h!19sChIJ6Q2Avqmx3DsRv8xyEjqcH9o
Newton Science Academy,9511798538,"NEET, Science",5.0,5,,"Mukundnagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Newton Science Academy/data=!4m7!3m6!1s0x3bdcb18fccc870ad:0xfc5a5bd4c33f05ad!8m2!3d19.1077998!4d74.7524054!16s/g/11qb3gvpxv!19sChIJrXDIzI-x3DsRrQU_w9RbWvw
Novel Abacus Academy Class,7588541302,"Tuition, Mathematics, Abacus",5.0,1,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Novel Abacus Academy Class/data=!4m7!3m6!1s0x3bdcbb1a6df88409:0xcae763a12deab784!8m2!3d19.1153123!4d74.7240768!16s/g/11lr7bx7y3!19sChIJCYT4bRq73DsRhLfqLaFj58o
Onboard English Phonics Class Shital Swapnil Bihani,9370758673,"Spoken English, Tuition, English Academy, Kids Learning",5.0,8,,"Tarakpur, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Onboard English Phonics class Shital Swapnil Bihani/data=!4m7!3m6!1s0x3bdcb1220558eab7:0x1d802c3e7b211baa!8m2!3d19.1064405!4d74.7355315!16s/g/11w1sj5kjy!19sChIJt-pYBSKx3DsRqhshez4sgB0
Oxford Science Academy,,Science,5.0,1,,"Maliwada, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Oxford Science Academy/data=!4m7!3m6!1s0x3bdcb15f6f879c41:0xda10690151e4aebb!8m2!3d19.088954!4d74.7356553!16s/g/11jp_ppg37!19sChIJQZyHb1-x3DsRu67kUQFpENo
Perfect Mehndi And Rangoli Classes,,Tuition,5.0,47,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Perfect Mehndi and Rangoli Classes/data=!4m7!3m6!1s0x3bdcbbe4fa10fa67:0xd353b15f68c41fae!8m2!3d19.1212174!4d74.7423832!16s/g/11tf8scdws!19sChIJZ_oQ-uS73DsRrh_EaF-xU9M
Personality Development Classes,,"Tuition, English Academy",5.0,1,,"Pune, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Personality Development Classes/data=!4m7!3m6!1s0x3bdcb1cd369f1ff9:0xed712b34a8f3409!8m2!3d19.090016!4d74.7426874!16s/g/11tfz67_r3!19sChIJ-R-fNs2x3DsRCTSPSrMS1w4
Priya's Handwriting Improvement Classes And Tutions.,,Tuition,5.0,6,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Priya's Handwriting Improvement Classes and tutions./data=!4m7!3m6!1s0x3bdcba7aeb6fd19d:0x91d044c8c57afbcf!8m2!3d19.122298!4d74.7235989!16s/g/11dfldbx7x!19sChIJndFv63q63DsRz_t6xchE0JE
R2 Academy,,Tuition,5.0,30,,"Bhavani Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/R2 Academy/data=!4m7!3m6!1s0x3bdcb17a15ce8411:0x2fc72ab69a266fca!8m2!3d19.0817112!4d74.7419444!16s/g/11scsp7m34!19sChIJEYTOFXqx3DsRym8mmrYqxy8
S&s Academy Of Science And Commerce,9325363746,"Commerce Classes, Science",5.0,3,,"Bolhegaon Suburban, Nagapur",Ahmednagar,,,https://www.google.com/maps/place/S&S Academy Of Science And Commerce/data=!4m7!3m6!1s0x3bdcbb660b5a1bb5:0x87ecef81d5c6a301!8m2!3d19.1359122!4d74.7109121!16s/g/11s49pnfs_!19sChIJtRtaC2a73DsRAaPG1YHv7Ic
Shinde's Commerce Academy,9273990638,"Banking, Commerce Classes",5.0,6,,"Tarakpur, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/SHINDE'S COMMERCE ACADEMY/data=!4m7!3m6!1s0x3bdcb1caca9eb4ef:0x99ee44e0050b5cc0!8m2!3d19.102072!4d74.7333281!16s/g/11hz3j1s48!19sChIJ77Seysqx3DsRwFwLBeBE7pk
Shreee Ganesh Classes,9834768688,Tuition,5.0,60,,"Tarakpur, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Shreee Ganesh Classes !/data=!4m7!3m6!1s0x3bdcb06155555555:0xc2c3ca8ce6a03bee!8m2!3d19.1045988!4d74.7363815!16s/g/11hbt4tk_7!19sChIJVVVVVWGw3DsR7jug5ozKw8I
Shriji Mathematics Academy,9922664047,"Tuition, Mathematics",5.0,4,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Shriji mathematics academy/data=!4m7!3m6!1s0x3bdcbba2dc622657:0x165e469e27bf5440!8m2!3d19.1209717!4d74.7429199!16s/g/11gwmgrtvv!19sChIJVyZi3KK73DsRQFS_J55GXhY
Shrikrishna Computer,9922595929,"Computer Classes, Tuition",5.0,42,,"Nagapur, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Shrikrishna Computer/data=!4m7!3m6!1s0x3bdcba4110ea0067:0xa3af308760ca5cea!8m2!3d19.1395352!4d74.7135155!16s/g/11cs1wl_jw!19sChIJZwDqEEG63DsR6lzKYIcwr6M
Social Studies Classes,,"Railway, Tuition",5.0,4,,"Anandnagar, Chouk",Ahmednagar,,,https://www.google.com/maps/place/Social Studies Classes/data=!4m7!3m6!1s0x3bdcb1b98c4b7199:0x95d4dda086c76ecc!8m2!3d19.0794385!4d74.7271747!16s/g/11qp12p5rz!19sChIJmXFLjLmx3DsRzG7HhqDd1JU
Ss Coaching Academy The Best Education Is Here,,MPSC,5.0,13,,"Kedgaon, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/SS Coaching Academy the best education is here/data=!4m7!3m6!1s0x3bdcb0de758f6893:0x42afeca3b263a364!8m2!3d19.0706486!4d74.7086261!16s/g/11f2_tzfd8!19sChIJk2iPdd6w3DsRZKNjsqPsr0I
Stepping Star English Medium School,7744844433,English Academy,5.0,4,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Stepping Star English Medium School/data=!4m7!3m6!1s0x3bdcbb95148c9b55:0xbe416de71b75ae89!8m2!3d19.140121!4d74.725445!16s/g/11vbs6xdq4!19sChIJVZuMFJW73DsRia51G-dtQb4
Stock Market Class In Ahmednagar,,"Banking, Tuition",5.0,16,,"Nuevo, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/STOCK MARKET CLASS IN Ahmednagar/data=!4m7!3m6!1s0x3bdcb1c601820ff1:0xeeec0a5edef606b7!8m2!3d19.0971597!4d74.7299917!16s/g/11h07ybblt!19sChIJ8Q-CAcax3DsRtwb23l4K7O4
